Befolkningen i lokaliteterne pr 1. januar 1977-2021 <em>[BEDSTD]</em>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tid;Hele landet;Nanortalik (by);Aappilattoq (bygd i Kujalleq);Narsarmijit (bygd);Tasiusaq (bygd i Kujalleq);Ammassivik (bygd);Alluitsup Paa (bygd);Uoplyst i Nanortalik distrikt;Qaqortoq (by);Saarloq (bygd);Eqalugaarsuit (bygd);Qassimiut (bygd);Uoplyst i Qaqortoq distrikt;Narsaq (by);Igaliku (bygd);Qassiarsuk (bygd);Narsarsuaq (bygd);Uoplyst i Narsaq distrikt;Uoplyst i Ivittuut distrikt;Paamiut (by);Arsuk (bygd);Uoplyst i Paamiut distrikt;Nuuk (by);Qeqertarsuatsiaat (bygd);Kapisillit (bygd);Uoplyst i Nuuk distrikt;Tasiilaq (by);Sermiligaaq (bygd);Isortoq (bygd);Kulusuk (bygd);Tiniteqilaaq (bygd);Kuummiut (bygd);Uoplyst i Tasiilaq distrikt;Ittoqqortoormiit (by);Nerlerit Inaat (Lufthavn);Uoplyst i Illoqqortoormiut distrikt;Maniitsoq (by);Atammik (bygd);Napasoq (bygd);Kangaamiut (bygd);Sisimiut (by);Itilleq (bygd);Sarfannguit (bygd);Kangerlussuaq (bygd);Kangaatsiaq (by);Attu (bygd);Iginniarfik (bygd);Niaqornaarsuk (bygd);Ikerasaarsuk (KAN)(bygd);Uoplyst i Kangaatsiaq distrikt;Aasiaat (by);Akunnaaq (bygd);Kitsissuarsuit (bygd);Qasigiannguit (by);Ikamiut (bygd);Qeqertarsuaq (by);Kangerluk (bygd);Ilulissat (by);Oqaatsut (bygd);Qeqertaq (bygd);Saqqaq (bygd);Ilimanaq (bygd);Uummannaq (by);Niaqornat (bygd);Qaarsut (bygd);Ikerasak (bygd);Saattut (bygd);Ukkusissat (bygd);Uoplyst i Uummannaq distrikt;Upernavik (by);Upernavik Kujalleq (bygd);Kangersuatsiaq (bygd);Aappilattoq (bygd i Avannaani);Tasiusaq (bygd i Avannaa);Nuussuaq (bygd);Kullorsuaq (bygd);Naajaat (bygd);Innarsuit (bygd);Nutaarmiut (bygd);Ikerasaarsuk (UPE)(bygd);Uoplyst i Upernavik distrikt;Qaanaaq (by);Savissivik (bygd);Siorapaluk (bygd);Qeqertat (bygd);Uoplyst i Qaanaaq distrikt;Pituffik (Station);Uoplyst udenfor kommunerne
1977;49717;1396;234;230;133;177;576;115;2672;103;207;154;17;1899;77;136;139;34;150;2275;338;75;8545;290;167;30;1023;156;196;432;206;463;76;397;0;137;2937;166;250;557;3740;123;111;670;397;364;66;298;45;21;3347;207;112;1647;109;1003;64;3572;76;75;161;98;1155;87;218;242;292;154;538;855;138;232;142;172;143;186;29;72;57;0;67;357;129;64;44;152;625;96
1978;49148;1373;229;212;130;174;603;92;2660;104;194;165;18;1787;73;136;120;29;157;2250;335;75;8527;292;152;24;1042;165;192;420;217;472;68;399;0;135;2885;168;238;549;3757;116;108;729;413;370;59;295;44;14;3285;201;116;1707;109;979;71;3423;79;78;173;92;1164;86;211;212;291;166;470;799;141;232;133;179;141;190;29;74;59;0;68;353;135;67;44;148;593;84
1979;49338;1367;219;211;128;176;607;75;2568;108;201;150;18;1748;66;136;126;41;162;2221;321;71;8827;327;145;27;1090;168;183;433;195;480;61;364;0;133;2886;157;242;533;3796;116;115;705;406;351;60;287;43;8;3279;207;120;1743;105;941;72;3535;81;79;158;100;1166;85;208;212;289;172;460;861;136;219;144;179;146;195;33;83;60;0;61;374;129;67;41;144;528;68
1980;49773;1402;207;190;131;179;581;77;2595;100;201;144;16;1728;61;130;136;43;234;2237;314;68;9077;331;129;24;1114;170;190;402;207;474;61;391;0;105;3008;151;234;533;3976;113;112;682;411;349;54;298;46;4;3196;196;103;1771;106;941;71;3648;85;83;147;99;1175;87;198;195;264;169;415;844;133;217;119;163;143;203;44;81;76;0;66;409;123;65;46;128;494;50
1981;50643;1486;200;202;134;184;585;62;2575;93;208;139;17;1730;60;146;147;40;247;2291;333;69;9423;347;138;30;1164;180;186;409;211;485;59;389;0;90;3013;157;230;539;4136;100;112;641;437;343;67;301;47;0;3153;204;110;1747;107;953;71;3724;82;75;138;99;1224;83;213;199;271;169;464;870;131;223;120;153;143;199;44;85;77;0;67;405;137;60;45;118;452;46
1982;51435;1547;207;210;124;179;583;61;2637;90;224;136;16;1798;57;140;139;36;259;2318;353;68;9717;319;139;37;1228;172;178;423;212;474;62;424;0;73;3056;172;227;524;4270;105;103;613;443;352;65;290;53;0;3153;206;115;1803;104;973;74;3759;80;82;139;95;1212;83;213;205;269;172;431;842;143;216;128;151;149;206;45;83;79;0;61;401;139;64;36;130;437;44
1983;51903;1504;216;197;118;177;584;60;2692;100;219;130;18;1810;52;132;143;40;233;2384;358;65;9848;312;142;33;1232;175;147;421;215;483;81;430;0;79;3100;182;233;538;4298;96;115;597;441;362;61;297;46;0;3169;194;118;1770;104;955;70;3878;80;80;147;97;1223;84;223;201;268;172;395;883;142;213;134;154;139;213;45;86;81;0;57;438;136;64;41;116;476;61
1984;52347;1505;208;209;116;164;563;62;2753;95;218;130;21;1818;51;126;137;36;218;2408;368;58;9997;304;137;30;1301;187;156;397;211;457;67;432;0;78;3166;182;235;543;4405;108;121;597;489;363;66;325;56;0;3220;173;111;1755;106;968;65;3862;78;93;150;101;1250;89;208;211;260;164;364;907;160;222;118;156;137;209;51;85;76;0;65;439;124;72;39;113;413;59
1985;52940;1456;219;193;124;159;557;51;2778;92;205;111;21;1805;58;116;164;40;244;2433;370;14;10559;315;132;20;1343;175;155;392;221;431;51;433;0;77;3122;190;218;562;4524;104;126;590;467;365;76;304;50;0;3245;174;115;1680;105;976;66;3929;78;102;145;94;1290;85;202;204;256;159;375;894;163;201;114;154;132;215;52;86;77;0;71;449;127;59;39;115;443;57
1986;53406;1454;210;173;134;155;550;53;2876;79;208;110;18;1776;59;117;157;34;222;2356;373;10;10972;328;120;18;1403;175;151;366;207;448;44;459;0;76;3055;181;218;552;4583;112;122;587;477;368;64;300;50;0;3200;176;123;1705;106;994;68;4043;74;98;124;86;1305;83;201;206;259;155;373;922;152;208;109;157;138;229;50;86;80;0;67;473;138;63;40;97;427;31
