Distrikt,Nr.,Fork.,Navn
KUJALLEQ, 010 ,NAN,Nanortalik
KUJALLEQ, 012 ,APL,Aappilattoq
KUJALLEQ, 013 ,NKJ,Narsaq Kujalleq
KUJALLEQ, 014 ,TAQ,Tasiusaq
KUJALLEQ, 016 ,AMS,Ammassivik
KUJALLEQ, 018 ,ALP,Alluitsup Paa
KUJALLEQ, 020 ,QAQ,Qaqortoq
KUJALLEQ, 021 ,SAL,Saarloq
KUJALLEQ, 022 ,EQA,Eqalugaarsuit
KUJALLEQ, 024 ,QSM,Qassimiut
KUJALLEQ, 030 ,NRQ,Narsaq
KUJALLEQ, 032 ,IGA,Igaliku
KUJALLEQ, 035 ,QSK,Qassiarsuk
KUJALLEQ, 050 ,PAA,Paamiut
KUJALLEQ, 051 ,ARS,Arsuk
NUUK, 002 ,NUU,Nuuk (Hovedkontor)
NUUK, 060 ,NUU,Nuuk
NUUK, 061 ,QTT,Qeqertasuatsiaat
NUUK, 065 ,KAP,Kapisillit
QEQQA, 070 ,MAN,Maniitsoq
QEQQA, 071 ,ATA,Atammik
QEQQA, 072 ,NAP,Napasoq
QEQQA, 073 ,KAM,Kangaamiut
QEQQA, 080 ,SIS,Sisimiut
QEQQA, 081 ,ITI,Itilleq
QEQQA, 083 ,SFN,Sarfannguit
DISKO, 090 ,KAN,Kangaatsiaq
DISKO, 092 ,ATT,Attu
DISKO, 095 ,IGF,Iginniarfik
DISKO, 096 ,NQK,Niaqornaarsuk
DISKO, 098 ,IKS,Ikerasaarsuk
DISKO,100,AAS,Aasiaat
DISKO,103,AKU,Akunnaaq
DISKO,104,KIT,Kitsissuarsuit
DISKO,110,QAS,Qasigiannguit
DISKO,111,IKA,Ikamiut
DISKO,120,ILU,Ilulissat
DISKO,121,OQA,Oqaatsut
DISKO,122,QQT,Qeqertaq
DISKO,123,SQQ,Saqqaq
DISKO,124,ILQ,Ilimanaq
DISKO,140,QEQ,Qeqertarsuaq
DISKO,143,KLK,Kangerluk
AVANNAA,150,UUM,Uummannaq
AVANNAA,151,NIA,Niaqornat
AVANNAA,152,QST,Qaarsut
AVANNAA,153,IKE,Ikerasak
AVANNAA,154,SAA,Saattut
AVANNAA,155,UKK,Ukkusissat
AVANNAA,156,ILL,Illorsuit
AVANNAA,157,NUG,Nuugaatsiaq
AVANNAA,160,UPE,Upernavik
AVANNAA,161,UPK,Upernavik Kujalleq
AVANNAA,162,KAQ,Kangersuatsiaq
AVANNAA,163,AAP,Aappilattoq
AVANNAA,164,NUT,Nutaarmiut
AVANNAA,165,TSS,Tasiusaq
AVANNAA,166,NUS,Nuussuaq
AVANNAA,167,KLQ,Kullorsuaq
AVANNAA,168,NAJ,Naajaat
AVANNAA,169,INN,Innarsuit
AVANNAA,170,QAA,Qaanaaq
AVANNAA,171,SAV,Savissivik
AVANNAA,174,SIO,Siorapaluk
AVANNAA,176,MOR,Moriusaq
QEQQA,180,TAS,Tasiilaq
QEQQA,182,SML,Sermiligaaq
QEQQA,183,ISO,Isortoq
QEQQA,184,KUL,Kulusuk
QEQQA,185,TIN,Tiniteqilaaq
QEQQA,186,KUM,Kuummiut
QEQQA,190,ITT,Ittoqqortoormiit
QEQQA,191,UUN,Uunarteq
QEQQA,192,ITR,Itterajivit
